,word,proposed_splitting,count_pre,count_post
69,growth4good,"['growth', '4', 'good']",1,
70,southasiahotspots,,7,
71,auteur,,1,
72,thinkglobalactlocal,"['think', 'global', 'act', 'local']",1,
73,skies,,1,
74,buildthewall,"['build', 'the', 'wall']",1,
75,publicsediment,"['public', 'sediment']",1,
76,equatorprize,"['equator', 'prize']",1,
77,read,,3,1.0
78,resilience4dev,,2,
79,nowshehra,,1,
80,richmondhill,,1,
81,spreadawareness,"['spread', 'awareness']",16,
82,data,,5,3.0
83,greener,,1,
84,agriculturaregenerativa,,1,
85,braindead,"['brain', 'dead']",1,
86,wte,,1,
87,eth,,4,
88,integrity,,1,
89,climatekic,,5,1.0
90,carbonnet,"['carbon', 'net']",1,
91,washingtonstate,,1,
92,cordia,"['cord', 'i', 'a']",1,
93,million,,2,
94,cdnfilm,,3,
95,悟性,,3,
96,childrenuprooted,"['children', 'uprooted']",9,
97,academic,,1,
98,温暖化,,16,
99,colour,,3,
100,votegreen2019,"['vote', 'green', '2019']",3,
101,joshfriedandburnt,"['josh', 'fried', 'and', 'burnt']",2,
102,young,,1,
103,worldenvironmentalday,"['world', 'environmental', 'day']",1,
104,coolplanetchampion,"['cool', 'planet', 'champion']",1,
105,puran,,1,
106,fuelling,,1,
107,miyokos,,1,
108,gtu,"['gt', 'u']",1,
109,reuse,,1,2.0
110,zerocarbonproject,"['zero', 'carbon', 'project']",9,
111,ignition,,1,
112,futureofwork,"['future', 'of', 'work']",1,1.0
113,microbial,,1,
114,environmentday,"['environment', 'day']",1,
115,hikikomori,,2,
116,isavewater,"['i', 'save', 'water']",1,
117,desertification,,3,1.0
118,edm,,2,
119,irony,,1,
120,higgins,,2,
121,nz,,1,4.0
122,teamhb2019,,3,
123,digital,,4,1.0
124,daca,,1,
125,exxon,,1,1.0
126,europeanelections,,1,
127,denialism,"['denial', 'is', 'm']",1,
128,posttruth,"['post', 'truth']",1,
129,iceaddiction,"['ice', 'addiction']",1,
130,nature,,40,68.0
131,rimfire,"['rim', 'fire']",1,
132,worstpresidentever,"['worst', 'president', 'ever']",1,
133,listen,,1,
134,notgoodnews,"['not', 'good', 'news']",1,
135,parrotsci,"['parrot', 'sci']",1,
136,globalstrikeforfuture,"['global', 'strike', 'for', 'future']",3,
137,deforestationfree,"['deforestation', 'free']",1,
138,gnd,,11,
139,endfactoryfarmingnow,"['end', 'factory', 'farming', 'now']",1,
140,pccrc,,1,
141,jess2018,,2,
142,climatemodeelling,,1,
143,altnews,"['alt', 'news']",2,
144,water,,61,35.0
145,eufunded,,2,
146,lovetheearth,"['love', 'the', 'earth']",1,
147,food,,24,22.0
148,mozambique,,11,
149,ieo,,1,
150,newsouthwales,"['new', 'south', 'wales']",1,
151,climateelection2019,"['climate', 'election', '2019']",2,
152,memes,,1,
153,climateeconomics,"['climate', 'economics']",1,
154,threatenedspecies,"['threatened', 'species']",1,
155,greenfleet,"['green', 'fleet']",1,
156,groundswell,,4,
157,histstm,,1,
158,affordablehousing,"['affordable', 'housing']",2,2.0
159,endforeverwar,"['end', 'forever', 'war']",1,
160,nonnuclear,"['non', 'nuclear']",1,
161,anthropocaene,,1,
162,ep2019,,4,
163,youths,,2,
164,thinkgreen,"['think', 'green']",1,
165,flatpack2019,"['flat', 'pack', '2019']",1,
166,delusional,,1,1.0
167,forboflooring,,1,
168,ourfragilehome,"['our', 'fragile', 'home']",2,
169,foodinnovation,"['food', 'innovation']",7,2.0
170,fuckthegop,,1,
171,globalpoppulation,,1,
172,100by2045,"['100', 'by', '2045']",1,
173,capacitybuildingprogramme,,1,
174,savethereef,"['save', 'the', 'reef']",11,
175,軍事費,,1,
176,msnbc,,1,
177,hiatus,,1,
178,backinthegame,"['back', 'in', 'the', 'game']",2,
179,greencentralbanks,"['green', 'central', 'banks']",1,
180,netzero,"['net', 'zero']",10,
181,saturdayreading,,1,
182,londonlidochallenge,,1,
183,aussiewine,,1,
184,dnc,,1,1.0
185,veganism,,1,3.0
186,skynews,"['sky', 'news']",4,
187,icac,,1,
188,toronto,,2,2.0
189,centralvalley,"['central', 'valley']",1,
190,womeninscience,"['women', 'in', 'science']",1,
191,republicans,,1,
192,cooling,,2,2.0
193,waterscarcity,"['water', 'scarcity']",3,
194,csiro,,1,2.0
195,agakhan,,2,
196,school,,3,
197,smartinfrastructure,"['smart', 'infrastructure']",2,
198,bikes,,1,1.0
199,polqc,,1,
200,dairyfree,"['dairy', 'free']",2,
201,impeachmentinquirynow,"['impeachment', 'inquiry', 'now']",1,
202,australian,,1,
203,whitehouse,,1,
204,delta,,2,
205,competition,,1,
206,lgbtq,,1,1.0
207,wokeaf,,3,
208,negotiation,,2,
209,mps,,1,
210,timeforchange,"['time', 'for', 'change']",1,
211,highseas,"['high', 'seas']",3,
212,africanpeople,,1,
213,usask,"['us', 'ask']",1,
214,sea,,1,
215,human,,3,2.0
216,climateactionilkley,,2,
217,donthecon,"['don', 'the', 'con']",1,
218,missinginthebudget,"['missing', 'in', 'the', 'budget']",1,
219,poetryslam,"['poetry', 'slam']",1,
220,naturaldisasters,"['natural', 'disasters']",1,
221,hotjob,"['hot', 'job']",1,
222,clifi,,3,1.0
223,peatlands,"['peat', 'lands']",2,1.0
224,nonviolence,,1,2.0
225,gloabalgoals,,2,
226,iamcannabis,,1,
227,longman,,14,
228,wysiwyg,,1,
229,emergingtech,"['emerging', 'tech']",2,
230,getjo19,,1,
231,cancer,,6,6.0
232,welovetheearth,"['we', 'love', 'the', 'earth']",2,
233,dirtytrucks,"['dirty', 'trucks']",1,
234,chelsea,,1,
235,algore,,2,2.0
236,iyor2018,,2,
237,ceinv,,2,
238,whales,,3,1.0
239,led,,1,1.0
240,anthropology,,1,
241,workfromhome,"['work', 'from', 'home']",1,
242,rollingstone,"['rolling', 'stone']",1,
243,severedrought,"['severe', 'drought']",1,
244,rwe,"['r', 'we']",1,
245,nebraska,,2,1.0
246,africaday2019,,1,
247,bootpruitt,"['boot', 'pr', 'u', 'it', 't']",7,
248,helsinki2018,,1,
249,womenofthearctic,"['women', 'of', 'the', 'arctic']",1,
250,metsunite,,6,
251,globalhunger,"['global', 'hunger']",1,1.0
252,antiscience,"['anti', 'science']",1,1.0
253,scottpruitt,,6,
254,auto,,1,
255,snapchat,"['snap', 'chat']",2,2.0
256,iycnoutreach,,1,
257,lossanddamage,"['loss', 'and', 'damage']",2,
258,readytochange,"['ready', 'to', 'change']",1,
259,trainee,,1,
260,fakescience,"['fake', 'science']",2,
261,sustainabledevelopmentgoals,"['sustainable', 'development', 'goals']",1,
262,hightime,"['high', 'time']",1,
263,notankers,"['no', 'tankers']",4,
264,boycotttarsands,"['boycott', 'tars', 'and', 's']",1,
265,miniiceage,"['mini', 'ice', 'age']",1,
266,frankenskies,,3,
267,bioreceptive,"['bio', 'receptive']",1,
268,wedonothavetime,"['we', 'do', 'not', 'have', 'time']",1,
269,lidos,"['lido', 's']",1,
270,dementia,,3,1.0
271,flightfree2020,"['flight', 'free', '2020']",1,
272,sapoli,,1,
273,livefastanddieyoung,"['live', 'fast', 'and', 'die', 'young']",1,
274,climatesrike,,1,
275,europe,,4,7.0
276,crackerplant,"['cracker', 'plant']",1,
277,gasflaring,"['gas', 'flaring']",3,
278,makeitstop,"['make', 'it', 'stop']",1,
279,hrc40,,1,
280,mobility,,2,
281,prochoice,"['pro', 'choice']",3,
282,environmentaljustice,"['environmental', 'justice']",18,32.0
283,station,,2,
284,go100percent,"['go', '100', 'percent']",1,
285,dataviz,"['data', 'viz']",2,15.0
286,floodrisk,"['flood', 'risk']",1,1.0
287,biden2020,,1,
288,coalfreeweek,"['coal', 'free', 'week']",1,
289,dtes,,1,
290,nonewcoal,"['no', 'new', 'coal']",23,1.0
291,transhumanismo,,1,
292,bacnet,,1,
293,onlocation,"['on', 'location']",1,
294,bced,,1,
295,thisiswhatascientistlookslike,"['this', 'is', 'what', 'a', 'scientist', 'looks', 'like']",1,
296,lithium,,2,1.0
297,ausvotes,"['a', 'us', 'votes']",33,
298,drawdown,"['draw', 'down']",1,2.0
299,noplastic,"['no', 'plastic']",1,
300,usa,,1,8.0
301,mandeladay,,1,
302,somalia,,1,
303,pm10,"['pm', '10']",1,
304,indiacts,,1,
305,rockwool,"['rock', 'wool']",1,
306,worldwaterday2019,"['world', 'water', 'day', '2019']",2,
307,internationalrebellion,"['international', 'rebellion']",1,
308,themoreyouknow,"['the', 'more', 'you', 'know']",1,
309,robots,,1,1.0
310,greencleaning,"['green', 'cleaning']",1,
311,alarmistrhetoric,"['alarmist', 'rhetoric']",1,
312,finite,,1,
313,cyclone,,1,
314,euatspringmeetings,,1,
315,airline,,2,
316,strategic,,1,
317,transgender,,1,
318,queensland,,1,1.0
319,extinctions,,1,
320,imstillwithher,,1,
321,blacktwitter,"['black', 'twitter']",1,
322,training,,1,
323,mogherini,,1,
324,mdpienvironments,"['m', 'dpi', 'environments']",1,
325,exchange,,1,
326,wcmb2018,,2,
327,communityrights,"['community', 'rights']",2,
328,marclim,,1,
329,athens,,1,
330,wemeantoclean,"['we', 'mean', 'to', 'clean']",2,
331,protecthealth,"['protect', 'health']",1,
332,mexico,,1,1.0
333,climateleader,"['climate', 'leader']",4,
334,poet,,1,2.0
335,noblesville,,1,
336,leveraging,,1,
337,gunreform,"['gun', 'reform']",2,1.0
338,shoutout,"['shout', 'out']",1,
339,northcarolina,,3,
340,hambachforest,,1,
341,ai,"['a', 'i']",17,15.0
342,puertorico,,3,4.0
343,war,,3,
344,wembley,,1,
345,siliconvalley,"['silicon', 'valley']",1,
346,iot,,6,7.0
347,gmis2019,"['gm', 'is', '2019']",1,
348,sharedobligation,"['shared', 'obligation']",1,
349,durablesolutions,"['durable', 'solutions']",1,
350,pv,,1,1.0
351,leftist,,1,
352,partnership,,2,
353,united,,1,1.0
354,biodiversity,,36,83.0
355,implement2030,"['implement', '2030']",1,
356,bjp,,1,
357,conservewater,"['conserve', 'water']",1,
358,youthforclimate,"['youth', 'for', 'climate']",7,
359,mural,,2,
360,dmzotdih,,1,
361,treeplanting,"['tree', 'planting']",1,
362,mapathons,"['ma', 'path', 'on', 's']",1,
363,pipelines,,1,
364,wellregulated,"['well', 'regulated']",1,1.0
365,usaovernra,,1,
366,demography,,1,
367,worldbiodiversityday,"['world', 'biodiversity', 'day']",2,
368,zerohunger,"['zero', 'hunger']",11,19.0
369,nytimes,,1,1.0
370,fossilfools,"['fossil', 'fools']",1,
371,standards,,1,
372,carbonoffset,"['carbon', 'offset']",3,
373,powerofthesun,"['power', 'of', 'the', 'sun']",1,
374,whcd,,1,
375,culture,,1,
376,deutschland,,3,
377,fridaysforfurture,,3,
378,asiapacific,,5,1.0
379,mses,,1,
380,climatechangecyprus,,1,
381,antarcia,,1,
382,pjnet,,1,
383,commonsenseguncontrol,"['commonsense', 'gun', 'control']",3,1.0
384,nopipelines,"['no', 'pipelines']",2,1.0
385,hrc,,1,
386,citizenscience,"['citizen', 'science']",2,
387,catchup,,1,
388,haarp,,5,1.0
389,songwriter,,1,
390,scientists,,8,6.0
391,wakeupunk,"['wake', 'u', 'punk']",1,
392,tokai,,2,
393,team_1776,"['team', '1776']",1,
394,toomanyofus,"['too', 'many', 'of', 'us']",1,
395,director,,1,
396,stopadaniconvoy,,1,
397,iuu,,2,
398,wakeupworld,"['wake', 'up', 'world']",1,
399,climateoptimism,"['climate', 'optimism']",2,
400,journey,,1,
401,oceanclimateaction,"['ocean', 'climate', 'action']",2,
402,icebergalley,"['iceberg', 'alley']",1,
403,anilmaltesting,,1,
404,globalchallenge,"['global', 'challenge']",2,
405,europewide,,1,
406,bantrophyhunting,"['ban', 'trophy', 'hunting']",1,
407,carbontax,"['carbon', 'tax']",8,41.0
408,uofstirling,,1,
409,farm365,"['farm', '365']",6,
410,diesel,,2,
411,animalliberation,"['animal', 'liberation']",1,
412,mmiwg,,1,
413,plant,,1,
414,top10myths,"['top', '10', 'myths']",1,
415,weather,,22,13.0
416,whc42com,,3,
417,genome,,1,
418,sugarmoonfarm,"['sugar', 'moon', 'farm']",1,
419,greencities,"['green', 'cities']",14,
420,weathermanipulation,"['weather', 'manipulation']",1,
421,hypocrisy,,2,
422,amoc,,1,
423,shareforoneplus6,"['share', 'for', 'one', 'plus', '6']",1,
424,business,,7,7.0
425,sangiorgiogroup,,1,
426,nca4,,1,
427,democratically,,1,
428,p2p,"['p', '2', 'p']",2,
429,youthvoicesmatter,"['youth', 'voices', 'matter']",1,
430,cya,,1,
431,hydropower,,1,2.0
432,australia,,17,23.0
433,nzeb,,2,
434,ecosystems,,7,2.0
435,divestinvest,"['divest', 'invest']",1,
436,rossiceshelf,,1,
437,zsllibrary,,1,
438,papst,"['pap', 'st']",1,
439,margate,,1,
440,christmasisland,,1,
441,気候変動,,16,
442,energyclimate,"['energy', 'climate']",2,
443,inuit,,1,2.0
444,bcpoli,,27,16.0
445,aust,,1,
446,rights,,1,
447,waterprovision,"['water', 'provision']",1,
448,snails,,1,
449,australianrat,,1,
450,bernie2020,,10,
451,occupylafayettepark,,1,
452,antibioticresistance,"['antibiotic', 'resistance']",4,
453,pijournalism,"['pi', 'journalism']",1,
454,nabcep,,1,
455,ecosystem,,3,5.0
456,beatairpollution,"['beat', 'air', 'pollution']",1,13.0
457,washtimesoped,,2,
458,deutschlandtrend,,1,
459,nigeria,,3,8.0
460,vote,,1,5.0
461,saveanimals,"['save', 'animals']",1,
462,leed,"['lee', 'd']",1,
463,globalhist,"['global', 'hist']",1,
464,climatechangebilll,"['climate', 'change', 'bill', 'l']",1,
465,conservationoptimism,"['conservation', 'optimism']",1,1.0
466,resurgence,,1,
467,cleantech,"['clean', 'tech']",9,13.0
468,notarsands,,1,
469,utah,,6,1.0
470,islamicfundamentalism,,1,
471,gogreengujarat,,1,
472,bom,,1,1.0
473,migrant,,1,
474,fukushima,,4,
475,introgressiomics,,1,
476,mussels,,1,
477,tillerson,"['tillers', 'on']",1,
478,lowbirthweight,"['low', 'birth', 'weight']",3,1.0
479,kot,,1,
480,ditchthebag,"['ditch', 'the', 'bag']",2,
481,disastersarenotnatural,"['disasters', 'are', 'not', 'natural']",1,
482,drought18,"['drought', '18']",1,
483,leadership,,8,7.0
484,texas,,1,4.0
485,dinosaurs,,1,
486,urgent,,1,
487,plasticfreejuly,,2,
488,30daysofbiking,"['30', 'days', 'of', 'biking']",1,
489,balance,,3,
490,eubudget,,2,
491,brexiteers,,1,
492,africansrising,,1,
493,demonetisation,,3,
494,researchline,"['research', 'line']",2,
495,nocutstoeducation,"['no', 'cuts', 'to', 'education']",1,
496,humancapital,"['human', 'capital']",1,1.0
497,eastafrica,,1,
498,cndpoli,,1,
499,unethically,,1,
500,changemymind,"['change', 'my', 'mind']",1,
501,sustainable,,28,23.0
502,spainsouth,,1,
503,airquality,"['air', 'quality']",8,4.0
504,maputo,,1,
505,birmingham,,1,
506,plantatree,"['plant', 'a', 'tree']",2,
507,boris,,1,
508,climatedeniers,"['climate', 'deniers']",4,3.0
509,coveringclimatenow,"['covering', 'climate', 'now']",1,
510,ghg,,5,1.0
511,fossilgas,"['fossil', 'gas']",1,
512,notajoke,"['not', 'a', 'joke']",1,
513,schneiderman,,1,
514,may,,1,
515,cgalondon,,1,
516,silicones,"['silicone', 's']",1,
517,income,,2,
518,australiavotes,,2,
519,crown,,1,
520,energis,"['en', 'erg', 'is']",1,
521,resign,,1,
522,wethepeoples,"['we', 'the', 'peoples']",1,
523,nomoreclimatechangedenial,"['no', 'more', 'climate', 'change', 'denial']",1,
524,watersecurity,"['water', 'security']",1,7.0
525,urbanresearch,"['urban', 'research']",1,
526,imagination,,1,
527,beautiful,,1,1.0
528,brexitshambles,,1,
529,stateofemergency,"['state', 'of', 'emergency']",1,
530,pewdiepie,"['pew', 'die', 'pie']",1,
531,hurricaneprep,"['hurricane', 'prep']",1,
532,ndc,,1,1.0
533,nuclearpower,"['nuclear', 'power']",1,3.0
534,isds,,3,1.0
535,europeanelections2019,,1,
536,infectiousdiseases,"['infectious', 'diseases']",1,
537,4nca,,2,
538,ismun,"['is', 'mun']",1,
539,tuesdaymorning,,1,
540,climatemario,,1,
541,climatechangeisreal,"['climate', 'change', 'is', 'real']",56,56.0
542,datascience,"['data', 'science']",1,
543,jamesmurombedzi,,1,
544,animalhealth,"['animal', 'health']",1,
545,regenerate,,2,
546,whenitrainsitpours,"['when', 'it', 'rains', 'it', 'pours']",1,
547,nepotism,,1,
548,indiedev,,1,
549,see,,1,
550,smallfarmers,"['small', 'farmers']",1,
551,eggplant,,1,
552,antifa,"['anti', 'fa']",1,
553,teamjean,"['team', 'jean']",2,
554,matteroffact,"['matter', 'of', 'fact']",20,
555,fakecharm,"['fake', 'charm']",1,
556,reservoir,,1,1.0
557,impeachpence,"['impeach', 'pence']",1,
558,blockchain,"['block', 'chain']",40,5.0
559,ms13,"['ms', '13']",1,
560,davidattenborough,,5,
561,catholicchurch,"['catholic', 'church']",1,
562,fuel,,1,
563,netzeroenergy,"['net', 'zero', 'energy']",1,
564,youthclimatemarch,"['youth', 'climate', 'march']",4,1.0
565,ocde,,1,
566,protecttheprotectors,"['protect', 'the', 'protectors']",1,
567,dataanalysis,"['data', 'analysis']",1,
568,pinnacleindustries,"['pinnacle', 'industries']",1,
569,tradewar,"['trade', 'war']",1,
570,permafrost,,4,
571,worldhealthassembly,"['world', 'health', 'assembly']",1,
572,passivehouse,"['passive', 'house']",2,
573,directaircapture,"['direct', 'air', 'capture']",1,
574,energystorage,"['energy', 'storage']",3,2.0
575,redding,,1,
576,galapagos,,1,
577,bluegate,"['blue', 'gate']",1,
578,endhate,"['end', 'hate']",2,
579,bettereducation,"['better', 'education']",1,
580,rajaampat,,2,
581,reproductiverights,"['reproductive', 'rights']",2,
582,tccf2019,,1,
583,impactonworld,"['impact', 'on', 'world']",1,
584,climateactions,"['climate', 'actions']",1,
585,cryptominingfarm,,1,
586,nora,,2,
587,montana,,1,
588,audiogram,"['audio', 'gram']",3,
589,aepfnepal,,1,
590,senegal,,2,
591,sharks,,1,3.0
592,insp,,1,
593,new,,1,1.0
594,quito,,1,
595,dc,,3,
596,problem,,1,
597,cop25,"['cop', '25']",3,
598,cointelegraph,"['coin', 'telegraph']",1,
599,ausvotes19,"['a', 'us', 'votes', '19']",6,
600,banfracking,"['ban', 'f', 'racking']",1,
601,icemelting,"['ice', 'melting']",1,
602,elliotshayne,,1,
603,goplantbased,"['go', 'plant', 'based']",2,
604,zerotuition,"['zero', 'tuition']",1,
605,inspiring,,1,
606,zeb,,2,
607,nodrilling,"['no', 'drilling']",1,
608,ichthyology,,1,
609,fuelcells,"['fuel', 'cells']",2,
610,bangor,,1,
611,ufgc19,,2,
612,itstartsathome,"['it', 'starts', 'at', 'home']",1,
613,abram,,1,
614,iceberg,,1,
615,restoreepa,,1,
616,adaptationfund,"['adaptation', 'fund']",1,
617,gardening,,1,1.0
618,natureisbeautiful,"['nature', 'is', 'beautiful']",1,
619,earltown,"['earl', 'town']",1,
620,technologies,,1,
621,era,,1,1.0
622,wepublichealth,"['we', 'public', 'health']",1,
623,freshwater,,3,1.0
624,tippingpoint,"['tipping', 'point']",1,
625,life,,2,7.0
626,explore,,2,
627,guelph,,1,2.0
628,endfossilfuels,"['end', 'fossil', 'fuels']",1,
629,localafrica,,1,
630,aedes,,1,
631,manmadeproblem,,1,
632,votegreen,"['vote', 'green']",3,
633,ausvoteshealth,"['a', 'us', 'votes', 'health']",2,
634,sustyonthestreets,,1,
635,radio4,"['radio', '4']",1,
636,surviveandthrive,"['survive', 'and', 'thrive']",2,
637,elysium,,2,
638,worldenvironmentday2019,"['world', 'environment', 'day', '2019']",2,
639,fpr,"['f', 'pr']",2,
640,ilc,,2,
641,nagasaki,,2,
642,racewecanwin,"['race', 'we', 'can', 'win']",1,
643,performance,,1,
644,divestparliament,"['divest', 'parliament']",2,
645,fossilfuels,"['fossil', 'fuels']",36,16.0
646,maximisingimpact,,1,
647,soy,,1,
648,potatoes,,1,
649,indc,"['in', 'dc']",1,
650,oilpainting,"['oil', 'painting']",1,
651,bringbackabbott,,1,
652,consequences,,1,
653,carbonxprint,"['carbon', 'x', 'print']",1,
654,homelessness,,1,
655,letg_rennes,,1,
656,cop23,"['cop', '23']",10,
657,scheer,,1,
658,contribute,,1,
659,evidence,,1,
660,stoppipelines,"['stop', 'pipelines']",4,
661,endcitizenunited,"['end', 'citizen', 'united']",1,
662,nswvotes,,1,
663,ilmastonmuutos,,2,
664,farmlabor,"['farm', 'labor']",1,
665,geospatial,,2,
666,wutv,,3,
667,onstorm,"['on', 'storm']",2,
668,ozonedepletion,"['ozone', 'depletion']",1,
669,neclimate,,1,
670,infinitywar,"['infinity', 'war']",1,
671,wakeup,"['wake', 'up']",2,3.0
672,caribbean,,7,3.0
673,environmentaldefenders,"['environmental', 'defenders']",5,
674,startupstory,"['startup', 'story']",1,
675,riparian,,1,
676,civilsociety,"['civil', 'society']",1,
677,worldmangroveday,"['world', 'mangrove', 'day']",4,
678,atheists,,3,
679,ev,,6,8.0
680,nuclearisthesolution,"['nuclear', 'is', 'the', 'solution']",1,
681,science,,111,114.0
682,ecoterrorism,,1,
683,realtor,,1,
684,fairness,,1,
685,oilandgas,"['oil', 'and', 'gas']",5,9.0
686,patsy,,2,
687,imperialism,,1,
688,nobelprize,,1,
689,medium,,10,
690,thermohaline,,1,
691,tikunolam,,1,
692,breakfree,"['break', 'free']",1,
693,election,,1,
694,ibpa,,1,
695,g20,"['g', '20']",2,
696,filmmaker,,1,
697,marinescience,"['marine', 'science']",1,
698,co2,"['co', '2']",32,50.0
699,buildings2019,"['buildings', '2019']",1,
700,economicgrowth,"['economic', 'growth']",1,
701,wolf,,1,
702,manus,,1,2.0
703,woodstoves,"['wood', 'stoves']",1,
704,bhfyp,,1,
705,uk,,8,4.0
706,aachencity,,4,
707,green,,30,27.0
708,extremeheat,"['extreme', 'heat']",2,
709,modules,,1,
710,smog,,4,
711,democrat,,1,
712,decarbonisation,,4,1.0
713,gces,,1,
714,drowningprevention,"['drowning', 'prevention']",1,
715,solarenergy,"['solar', 'energy']",17,11.0
716,chinese,,1,
717,extinctionrebellion,"['extinction', 'rebellion']",98,
718,zambia,,2,1.0
719,dumping,,1,
720,freepress,"['free', 'press']",2,
721,ipcc,,10,13.0
722,strongwater,"['strong', 'water']",1,
723,ismaili,,2,
724,minds,,1,
725,suds,,1,
726,intellectualproperty,"['intellectual', 'property']",1,
727,timemachines,"['time', 'machines']",1,
728,ivotenature,"['i', 'vote', 'nature']",1,
729,republofascism,"['re', 'pub', 'lo', 'fascism']",1,
730,indusnews,,1,
731,buildbetterbefore,"['build', 'better', 'before']",1,
732,learning,,1,
733,keepourparksgreen,"['keep', 'our', 'parks', 'green']",1,
734,climatebreakdown,"['climate', 'breakdown']",18,
735,sixdegreesoffuelseparation,"['six', 'degrees', 'of', 'fuel', 'separation']",1,
736,heatpower,"['heat', 'power']",1,
737,frenchpolynesia,,1,
738,escalation,,1,
739,tuesdaythoughts,,2,9.0
740,socialequity,"['social', 'equity']",1,
741,eutop10,,1,
742,retweet,"['re', 'tweet']",1,8.0
743,neverthelessshepersists,"['nevertheless', 'she', 'persists']",1,
744,planning,,1,
745,lifeonland,"['life', 'on', 'land']",1,
746,dougford,,1,2.0
747,jasper,,1,
748,lnpfail,,1,6.0
749,womentalkclimate,"['women', 'talk', 'climate']",1,
750,actonclimate,,491,325.0
751,akleg,,2,
752,arrestmnuchin,,1,
753,foodtech,"['food', 'tech']",4,2.0
754,carboncapture,"['carbon', 'capture']",3,
755,goveganfortheanimals,"['go', 'vegan', 'for', 'the', 'animals']",1,
756,economicloss,"['economic', 'loss']",1,
757,csg,,2,1.0
758,primaries,,1,
759,educationmatters,"['education', 'matters']",1,
760,borders,,1,
761,eurozone,,1,
762,skiing,,1,
763,lufc,,5,
764,corn,,1,
765,biogas,,2,
766,fraud,,3,3.0
767,satelliteimagery,"['satellite', 'imagery']",1,
768,macron,,2,
769,whatsatstake,"['what', 's', 'at', 'stake']",2,
770,unitednations,"['united', 'nations']",2,2.0
771,phibsborough,,1,
772,basketball,,1,
773,fluidarity,,1,
774,harbinger,,1,
775,balochistan,,2,
776,farmworkersrights,"['farm', 'workers', 'rights']",1,
777,globalpartnership,"['global', 'partnership']",1,
778,foodtrends,"['food', 'trends']",1,
779,ineosteamuk,,1,
780,charlatons,"['char', 'la', 'tons']",1,
781,rainbow,,1,
782,sapol,"['s', 'a', 'pol']",3,
783,coconuts,,1,
784,warren,,1,
785,everydropmatters,"['every', 'drop', 'matters']",1,
786,womensciencewednesday,,1,
787,worldcyclingforum,"['world', 'cycling', 'forum']",2,
788,evespoliticsenvironment,"['eves', 'politics', 'environment']",1,
789,simple,,3,
790,microclimates,"['micro', 'climates']",1,
791,belizebarrierreef,,1,
792,thisiskemira,,1,
793,social,,1,
794,usecase,"['use', 'case']",1,
795,wegotthis,"['we', 'got', 'this']",1,
796,flooring,,1,
797,howtobybcg,,1,
798,nonukes,"['no', 'nukes']",1,
799,nya,,1,
800,pcs,,1,
801,cambioclimatico,,1,5.0
802,leedcertified,"['lee', 'd', 'certified']",1,
803,ibmwatson,,1,
804,citinewsroom,,1,
805,empathy,,1,
806,electricgeneration,"['electric', 'generation']",1,
807,regenerative,,3,
808,emoji,,1,
809,ishareknowledge,"['is', 'hare', 'knowledge']",1,
810,medicare,,2,
